pmid,target_mention,context_sentence,journal,year
30022350,BEST1,A screening campaign identified modulators of Bestrophin-1.,Nat Med,2021
30047746,ROS1,A screening campaign identified modulators of Proto-oncogene tyrosine-protein kinase ROS.,Mol Cell,2022
30094516,IGKV2D-24,A screening campaign identified modulators of Probable non-functional immunoglobulin kappa variable 2D-24.,Endocrinology,2022
30045842,FGFR2,A screening campaign identified modulators of Fibroblast growth factor receptor 2.,Blood,2023
30080152,DCAF7,DDB1- and CUL4-associated factor 7 was investigated as a therapeutic target.,Endocrinology,2023
30086648,CASQ2,Calsequestrin-2 was investigated as a therapeutic target.,Mol Cell,2024
30041949,CHRNB3,Inhibition of CHRNB3 altered disease-relevant signalling in vitro.,J Biol Chem,2025
30082083,RIPK1,RIPK1 expression correlated with treatment response.,Endocrinology,2024
30015714,IGLV4-3,A screening campaign identified modulators of Immunoglobulin lambda variable 4-3.,Nat Med,2025
30033960,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase was investigated as a therapeutic target.,Endocrinology,2021
30042056,TUBB8B,A screening campaign identified modulators of Tubulin beta 8B.,Nat Rev Drug Discov,2022
30067134,KDM1A,A screening campaign identified modulators of Lysine-specific histone demethylase 1A.,Circulation,2025
30039694,HCFC1,A screening campaign identified modulators of Host cell factor 1.,Cancer Res,2025
30092102,TYRO3,Tyrosine-protein kinase receptor TYRO3 was investigated as a therapeutic target.,Cancer Res,2023
30067304,TRAV7,T cell receptor alpha variable 7 was investigated as a therapeutic target.,Circulation,2025
30011329,TIMM10,Inhibition of TIMM10 altered disease-relevant signalling in vitro.,Cell,2025
30048025,PON2,Inhibition of PON2 altered disease-relevant signalling in vitro.,Diabetes,2021
30099702,RGS20,Regulator of G protein signaling 20 was investigated as a therapeutic target.,Blood,2023
30063798,AKT1,RAC-alpha serine/threonine-protein kinase was investigated as a therapeutic target.,Blood,2024
30013865,CLCA1,Inhibition of CLCA1 altered disease-relevant signalling in vitro.,Mol Cell,2021
30016869,EIF4H,Inhibition of EIF4H altered disease-relevant signalling in vitro.,Diabetes,2025
30034742,STXBP1,A screening campaign identified modulators of Syntaxin-binding protein 1.,Diabetes,2023
30039472,GAGE12G,G antigen 12G was investigated as a therapeutic target.,Circulation,2023
30062047,UQCRHL,UQCRHL expression correlated with treatment response.,Cell,2023
30095625,IGLV3-32,Inhibition of IGLV3-32 altered disease-relevant signalling in vitro.,Cancer Res,2021
30039554,DEUP1,A screening campaign identified modulators of Deuterosome assembly protein 1.,Nat Med,2025
30056468,CNR1,Cannabinoid receptor 1 was investigated as a therapeutic target.,Diabetes,2024
30068113,CLCNKA,Inhibition of CLCNKA altered disease-relevant signalling in vitro.,Mol Cell,2024
30039806,IL1A,A screening campaign identified modulators of Interleukin-1 alpha.,Circulation,2022
30033601,HIPK2,Inhibition of HIPK2 altered disease-relevant signalling in vitro.,Diabetes,2022
30044892,CFAP96,Cilia-and flagella-associated protein 96 was investigated as a therapeutic target.,Free Radic Biol Med,2023
30010267,TNP2,TNP2 expression correlated with treatment response.,Nat Rev Drug Discov,2023
30027845,USP11,Inhibition of USP11 altered disease-relevant signalling in vitro.,Nat Med,2021
30050441,DYRK1A,Inhibition of DYRK1A altered disease-relevant signalling in vitro.,Circulation,2022
