internal_id,registered_name,gene_symbol,source_db,external_id,uniprot_ref,registered_by,registration_date,status
TGT-1181,Golgin subfamily A member 8A,GOLGA8A,Manual,,A7E2F4,kwilson,2020-01-22,active
TGT-1029,Rho guanine nucleotide exchange factor 6,ARHGEF6,ChEMBL,CHEMBL5725019,Q15052,kwilson,2024-05-11,active
TGT-1363,Natriuretic peptides B,NPPB,Manual,,P16860,lpatel,2020-01-25,active
TGT-1585,DNA repair protein XRCC4,XRCC4,UniProt,CHEMBL4296097,Q13426,jsmith,2023-10-19,active
TGT-1048,Carbonic anhydrase 12,CA12,UniProt,CHEMBL3242,O43570,jsmith,2023-04-25,active
TGT-1538,T cell receptor alpha variable 9-1,TRAV9-1,Manual,,A0A075B6T8,adas,2025-12-24,active
TGT-2433,SEPT9,SEPT9,Manual,,Q9UHD8,jsmith,2019-03-15,active
TGT-1515,Tyrosine-protein kinase SYK,SYK,ChEMBL,CHEMBL2599,P43405,jsmith,2022-09-27,active
TGT-1564,Ubiquitin/ISG15-conjugating enzyme E2 L6,UBE2L6,Manual,CHEMBL5725040,O14933,kwilson,2022-09-27,active
TGT-1405,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,ChEMBL,CHEMBL4100,P16885,jsmith,2024-11-17,active
TGT-1087,Cannabinoid receptor 1,CNR1,UniProt,CHEMBL218,P21554,njain,2024-05-20,active
TGT-1021,Polyunsaturated fatty acid 5-lipoxygenase,ALOX5,UniProt,CHEMBL215,P09917,njain,2020-01-01,active
TGT-1224,Immunoglobulin heavy constant gamma 3,IGHG3,ChEMBL,,P01860,adas,2024-05-08,active
TGT-1112,Dipeptidase 1,DPEP1,UniProt,CHEMBL1989,P16444,kwilson,2023-10-01,active
TGT-1282,Interleukin-18 receptor 1,IL18R1,UniProt,CHEMBL4804253,Q13478,lpatel,2025-06-09,active
TGT-1071,Cyclin-dependent kinase 5 activator 1,CDK5R1,Manual,CHEMBL2783,Q15078,jsmith,2025-12-12,active
