target_name,species,uniprot_id,gene_symbol,assay_count,binding_type
NAD(P)H dehydrogenase [quinone] 1,Homo sapiens,P15559,NQO1,85,Kd
PGA4,Homo sapiens,P0DJD7,PGA4,180,EC50
excitatory amino acid transporter 2,H. sapiens,P43004,SLC1A2,156,Kd
sodium/glucose cotransporter 2,human,P31639,SLC5A2,212,Ki
Immunoglobulin lambda variable 3-9,Human,A0A075B6K5,IGLV3-9,375,Ki
Elongation factor 1 gamma,human,P26641,EEF1G,208,Ki
Cytochrome P450 2D7 (CYP2D7),Human,A0A087X1C5,CYP2D7,171,Ki
TNFRSF10A protein,human,O00220,TNFRSF10A,357,Ki
srsf protein kinase 1,H. sapiens,Q96SB4,SRPK1,132,Kd
Metastasis-suppressor KiSS-1,Homo sapiens,Q15726,KISS1,6,EC50
ACE protein,H. sapiens,P12821,ACE,119,Ki
Protein lin-7 homolog A (LIN7A),H. sapiens,O14910,LIN7A,371,IC50
Carbonic anhydrase 2 (CA2),H. sapiens,P00918,CA2,241,Kd
ZNF500 protein,Homo sapiens,O60304,ZNF500,39,IC50
Inhibitor of nuclear factor kappa-B kinase subunit beta,Homo sapiens,O14920,IKBKB,247,EC50
Immunoglobulin lambda variable 1 44,human,P01699,IGLV1-44,384,Kd
Ubiquitin carboxyl-terminal hydrolase 46,H. sapiens,P62068,USP46,393,Kd
T cell receptor alpha variable 9-1 (TRAV9-1),Human,A0A075B6T8,TRAV9-1,283,IC50
Testis-specific Y-encoded protein 10 (TSPY10),H. sapiens,P0CW01,TSPY10,155,EC50
protein deacetylase hdac6,Human,Q9UBN7,HDAC6,126,Ki
Immunoglobulin lambda variable 2-11,H. sapiens,P01706,IGLV2-11,283,Ki
IGHV3-9,Human,P01782,IGHV3-9,12,Ki
RND3 protein,human,P61587,RND3,47,IC50
Non-receptor tyrosine-protein kinase TYK2 (TYK2),Homo sapiens,P29597,TYK2,317,Ki
hepatocyte nuclear factor 4-alpha,human,P41235,HNF4A,72,Ki
Tyrosine-protein kinase receptor TYRO3 (TYRO3),Human,Q06418,TYRO3,107,Kd
Dipeptidase 1,human,P16444,DPEP1,78,Kd
deuterosome assembly protein 1,Homo sapiens,Q05D60,DEUP1,396,IC50
TBC1 domain family member 3K,H. sapiens,A0A087X1G2,TBC1D3K,250,IC50
immunoglobulin kappa variable 1-39,H. sapiens,P01597,IGKV1-39,170,Kd
H(+)/Cl(-) exchange transporter 6,human,P51797,CLCN6,173,Kd
Neuronal membrane glycoprotein M6-b,Human,Q13491,GPM6B,327,Ki
ALDH3A2,human,P51648,ALDH3A2,392,Ki
baculoviral iap repeat-containing protein 2,human,Q13490,BIRC2,90,EC50
IGLV1-47 protein,Human,P01700,IGLV1-47,385,Kd
DNA repair nuclease/redox regulator APEX1 (APEX1),Human,P27695,APEX1,393,EC50
YWHAQ protein,human,P27348,YWHAQ,355,IC50
EGR4,H. sapiens,Q05215,EGR4,14,EC50
