accession,entry_name,gene_names,protein_name,organism,reviewed,length,database
A0A087X0M5,TVB18_HUMAN,TRBV18,T cell receptor beta variable 18,Homo sapiens (Human),reviewed,115,Swiss-Prot
A0A087WW87,KV240_HUMAN,IGKV2-40,Immunoglobulin kappa variable 2-40,Homo sapiens (Human),reviewed,121,Swiss-Prot
Q06418,TYRO3_HUMAN,TYRO3,Tyrosine-protein kinase receptor TYRO3,Homo sapiens (Human),reviewed,890,Swiss-Prot
P51665,PSMD7_HUMAN,PSMD7,26S proteasome non-ATPase regulatory subunit 7,Homo sapiens (Human),reviewed,324,Swiss-Prot
Q93009,UBP7_HUMAN,USP7,Ubiquitin C-terminal hydrolase 7,Homo sapiens (Human),reviewed,1102,Swiss-Prot
P09936,UCHL1_HUMAN,UCHL1,Ubiquitin carboxyl-terminal hydrolase isozyme L1,Homo sapiens (Human),reviewed,223,Swiss-Prot
Q12809,KCNH2_HUMAN,KCNH2,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens (Human),reviewed,1159,Swiss-Prot
P15559,NQO1_HUMAN,NQO1,NAD(P)H dehydrogenase [quinone] 1,Homo sapiens (Human),reviewed,274,Swiss-Prot
P00748,FA12_HUMAN,F12,Coagulation factor XII,Homo sapiens (Human),reviewed,615,Swiss-Prot
O76031,CLPX_HUMAN,CLPX,"ATP-dependent clpX-like chaperone, mitochondrial",Homo sapiens (Human),reviewed,633,Swiss-Prot
P62333,PRS10_HUMAN,PSMC6,26S proteasome regulatory subunit 10B,Homo sapiens (Human),reviewed,389,Swiss-Prot
O75969,AKAP3_HUMAN,AKAP3,A-kinase anchor protein 3,Homo sapiens (Human),reviewed,853,Swiss-Prot
Q9Y572,RIPK3_HUMAN,RIPK3,Receptor-interacting serine/threonine-protein kinase 3,Homo sapiens (Human),reviewed,518,Swiss-Prot
P0DJR0,GIMD1_HUMAN,GIMD1,GTPase IMAP family member GIMD1,Homo sapiens (Human),reviewed,217,Swiss-Prot
Q15125,EBP_HUMAN,EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Homo sapiens (Human),reviewed,230,Swiss-Prot
P0CJ86,DU4L3_HUMAN,DUX4L3,Double homeobox protein 4-like protein 3,Homo sapiens (Human),reviewed,424,Swiss-Prot
O76009,KT33A_HUMAN,KRT33A,"Keratin, type I cuticular Ha3-I",Homo sapiens (Human),reviewed,404,Swiss-Prot
Q05940,VMAT2_HUMAN,SLC18A2,Synaptic vesicular amine transporter,Homo sapiens (Human),reviewed,514,Swiss-Prot
Q15072,OZF_HUMAN,ZNF146,Zinc finger protein OZF,Homo sapiens (Human),reviewed,292,Swiss-Prot
P51659,DHB4_HUMAN,HSD17B4,Peroxisomal multifunctional enzyme type 2,Homo sapiens (Human),reviewed,736,Swiss-Prot
P41161,ETV5_HUMAN,ETV5,ETS translocation variant 5,Homo sapiens (Human),reviewed,510,Swiss-Prot
O14843,FFAR3_HUMAN,FFAR3,Free fatty acid receptor 3,Homo sapiens (Human),reviewed,346,Swiss-Prot
O76036,NCTR1_HUMAN,NCR1,Natural cytotoxicity triggering receptor 1,Homo sapiens (Human),reviewed,304,Swiss-Prot
A0A075B6W5,TVA23_HUMAN,TRAV23DV6,T cell receptor alpha variable 23/delta variable 6,Homo sapiens (Human),reviewed,121,Swiss-Prot
P34969,5HT7R_HUMAN,HTR7,5-hydroxytryptamine receptor 7,Homo sapiens (Human),reviewed,479,Swiss-Prot
P04150,GCR_HUMAN,NR3C1,Glucocorticoid receptor,Homo sapiens (Human),reviewed,777,Swiss-Prot
P26439,3BHS2_HUMAN,HSD3B2,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,Homo sapiens (Human),reviewed,372,Swiss-Prot
Q15113,PCOC1_HUMAN,PCOLCE,Procollagen C-endopeptidase enhancer 1,Homo sapiens (Human),reviewed,449,Swiss-Prot
Q15052,ARHG6_HUMAN,ARHGEF6,Rho guanine nucleotide exchange factor 6,Homo sapiens (Human),reviewed,776,Swiss-Prot
O14894,T4S5_HUMAN,TM4SF5,Transmembrane 4 L6 family member 5,Homo sapiens (Human),reviewed,197,Swiss-Prot
P01848,TRAC_HUMAN,TRAC,T cell receptor alpha chain constant,Homo sapiens (Human),reviewed,140,Swiss-Prot
Q969F8,KISSR_HUMAN,KISS1R,KiSS-1 receptor,Homo sapiens (Human),reviewed,398,Swiss-Prot
P51686,CCR9_HUMAN,CCR9,C-C chemokine receptor type 9,Homo sapiens (Human),reviewed,369,Swiss-Prot
Q13485,SMAD4_HUMAN,SMAD4,SMAD family member 4,Homo sapiens (Human),reviewed,552,Swiss-Prot
Q05BV3,EMAL5_HUMAN,EML5,Echinoderm microtubule-associated protein-like 5,Homo sapiens (Human),reviewed,1969,Swiss-Prot
P40429,RL13A_HUMAN,RPL13A,Large ribosomal subunit protein uL13,Homo sapiens (Human),reviewed,203,Swiss-Prot
P40394,ADH7_HUMAN,ADH7,All-trans-retinol dehydrogenase [NAD(+)] ADH7,Homo sapiens (Human),reviewed,386,Swiss-Prot
P51654,GPC3_HUMAN,GPC3,Glypican-3,Homo sapiens (Human),reviewed,580,Swiss-Prot
Q96SB4,SRPK1_HUMAN,SRPK1,SRSF protein kinase 1,Homo sapiens (Human),reviewed,655,Swiss-Prot
P01583,IL1A_HUMAN,IL1A,Interleukin-1 alpha,Homo sapiens (Human),reviewed,271,Swiss-Prot
P61586,RHOA_HUMAN,RHOA,Transforming protein RhoA,Homo sapiens (Human),reviewed,193,Swiss-Prot
Q8TDU6,GPBAR_HUMAN,GPBAR1,G protein-coupled bile acid receptor 1,Homo sapiens (Human),reviewed,330,Swiss-Prot
Q12866,MERTK_HUMAN,MERTK,Tyrosine-protein kinase Mer,Homo sapiens (Human),reviewed,999,Swiss-Prot
P27469,G0S2_HUMAN,G0S2,G0/G1 switch protein 2,Homo sapiens (Human),reviewed,103,Swiss-Prot
O60307,MAST3_HUMAN,MAST3,Microtubule-associated serine/threonine-protein kinase 3,Homo sapiens (Human),reviewed,1309,Swiss-Prot
P01857,IGHG1_HUMAN,IGHG1,Immunoglobulin heavy constant gamma 1,Homo sapiens (Human),reviewed,399,Swiss-Prot
Q00987,MDM2_HUMAN,MDM2,E3 ubiquitin-protein ligase Mdm2,Homo sapiens (Human),reviewed,491,Swiss-Prot
P68400,CSK21_HUMAN,CSNK2A1,Casein kinase II subunit alpha,Homo sapiens (Human),reviewed,391,Swiss-Prot
P47211,GALR1_HUMAN,GALR1,Galanin receptor type 1,Homo sapiens (Human),reviewed,349,Swiss-Prot
P54578,UBP14_HUMAN,USP14,Ubiquitin carboxyl-terminal hydrolase 14,Homo sapiens (Human),reviewed,494,Swiss-Prot
A0A075B6R9,KVD24_HUMAN,IGKV2D-24,Probable non-functional immunoglobulin kappa variable 2D-24,Homo sapiens (Human),reviewed,120,Swiss-Prot
P0CL83,ST3L1_HUMAN,STAG3L1,Putative STAG3-like protein 1,Homo sapiens (Human),reviewed,205,Swiss-Prot
O60337,MARH6_HUMAN,MARCHF6,E3 ubiquitin-protein ligase MARCHF6,Homo sapiens (Human),reviewed,910,Swiss-Prot
A6NNW6,ENO4_HUMAN,ENO4,Enolase 4,Homo sapiens (Human),reviewed,625,Swiss-Prot
A6NNX1,RIAD1_HUMAN,RIIAD1,RIIa domain-containing protein 1,Homo sapiens (Human),reviewed,92,Swiss-Prot
A0A075B6S4,KVD17_HUMAN,IGKV1D-17,Immunoglobulin kappa variable 1D-17,Homo sapiens (Human),reviewed,117,Swiss-Prot
P01569,IFNA5_HUMAN,IFNA5,Interferon alpha-5,Homo sapiens (Human),reviewed,189,Swiss-Prot
P26718,NKG2D_HUMAN,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens (Human),reviewed,216,Swiss-Prot
P31749,AKT1_HUMAN,AKT1,RAC-alpha serine/threonine-protein kinase,Homo sapiens (Human),reviewed,480,Swiss-Prot
P27797,CALR_HUMAN,CALR,Calreticulin,Homo sapiens (Human),reviewed,417,Swiss-Prot
P11474,ERR1_HUMAN,ESRRA,Steroid hormone receptor ERR1,Homo sapiens (Human),reviewed,423,Swiss-Prot
O00519,FAAH1_HUMAN,FAAH,Fatty-acid amide hydrolase 1,Homo sapiens (Human),reviewed,579,Swiss-Prot
P62424,RL7A_HUMAN,RPL7A,Large ribosomal subunit protein eL8,Homo sapiens (Human),reviewed,266,Swiss-Prot
P09681,GIP_HUMAN,GIP,Gastric inhibitory polypeptide,Homo sapiens (Human),reviewed,153,Swiss-Prot
A0A075B6U4,TVA7_HUMAN,TRAV7,T cell receptor alpha variable 7,Homo sapiens (Human),reviewed,112,Swiss-Prot
P62068,UBP46_HUMAN,USP46,Ubiquitin carboxyl-terminal hydrolase 46,Homo sapiens (Human),reviewed,366,Swiss-Prot
O43614,OX2R_HUMAN,HCRTR2,Orexin receptor type 2,Homo sapiens (Human),reviewed,444,Swiss-Prot
P16401,H15_HUMAN,H1-5,Histone H1.5,Homo sapiens (Human),reviewed,226,Swiss-Prot
O14967,CLGN_HUMAN,CLGN,Calmegin,Homo sapiens (Human),reviewed,610,Swiss-Prot
Q15910,EZH2_HUMAN,EZH2,Histone-lysine N-methyltransferase EZH2,Homo sapiens (Human),reviewed,746,Swiss-Prot
P28222,5HT1B_HUMAN,HTR1B,5-hydroxytryptamine receptor 1B,Homo sapiens (Human),reviewed,390,Swiss-Prot
A0A075B6S6,KVD30_HUMAN,IGKV2D-30,Immunoglobulin kappa variable 2D-30,Homo sapiens (Human),reviewed,120,Swiss-Prot
O76087,GAGE7_HUMAN,GAGE7,G antigen 7,Homo sapiens (Human),reviewed,117,Swiss-Prot
A0A075B6K6,LV403_HUMAN,IGLV4-3,Immunoglobulin lambda variable 4-3,Homo sapiens (Human),reviewed,122,Swiss-Prot
P0DME0,SETLP_HUMAN,SETSIP,Protein SETSIP,Homo sapiens (Human),reviewed,292,Swiss-Prot
Q13435,SF3B2_HUMAN,SF3B2,Splicing factor 3B subunit 2,Homo sapiens (Human),reviewed,895,Swiss-Prot
Q15078,CD5R1_HUMAN,CDK5R1,Cyclin-dependent kinase 5 activator 1,Homo sapiens (Human),reviewed,307,Swiss-Prot
P12931,SRC_HUMAN,SRC,Proto-oncogene tyrosine-protein kinase Src,Homo sapiens (Human),reviewed,536,Swiss-Prot
Q96RR4,KKCC2_HUMAN,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2,Homo sapiens (Human),reviewed,588,Swiss-Prot
P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor,Homo sapiens (Human),reviewed,443,Swiss-Prot
P36888,FLT3_HUMAN,FLT3,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens (Human),reviewed,993,Swiss-Prot
A0A075B6J1,LV537_HUMAN,IGLV5-37,Immunoglobulin lambda variable 5-37,Homo sapiens (Human),reviewed,123,Swiss-Prot
O14863,ZNT4_HUMAN,SLC30A4,Probable proton-coupled zinc antiporter SLC30A4,Homo sapiens (Human),reviewed,429,Swiss-Prot
Q16620,NTRK2_HUMAN,NTRK2,BDNF/NT-3 growth factors receptor,Homo sapiens (Human),reviewed,822,Swiss-Prot
P0DML3,CSH2_HUMAN,CSH2,Chorionic somatomammotropin hormone 2,Homo sapiens (Human),reviewed,217,Swiss-Prot
P51689,ARSD_HUMAN,ARSD,Arylsulfatase D,Homo sapiens (Human),reviewed,593,Swiss-Prot
O60318,GANP_HUMAN,MCM3AP,Germinal-center associated nuclear protein,Homo sapiens (Human),reviewed,1980,Swiss-Prot
O76094,SRP72_HUMAN,SRP72,Signal recognition particle subunit SRP72,Homo sapiens (Human),reviewed,671,Swiss-Prot
