chembl_id,pref_name,target_type,accession,gene_symbol,organism,tax_id,target_confidence
CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,SINGLE PROTEIN,P36888,FLT3,Homo sapiens,9606,8
CHEMBL4105726,Zinc finger and BTB domain-containing protein 16,SINGLE PROTEIN,Q05516,ZBTB16,Homo sapiens,9606,9
CHEMBL2176854,Macrophage mannose receptor 1,SINGLE PROTEIN,P22897,MRC1,Homo sapiens,9606,7
CHEMBL2401606,Transcription factor ETV6,SINGLE PROTEIN,P41212,ETV6,Homo sapiens,9606,7
CHEMBL4423,C-C chemokine receptor type 6,SINGLE PROTEIN,P51684,CCR6,Homo sapiens,9606,8
CHEMBL2147,Serine/threonine-protein kinase pim-1,SINGLE PROTEIN,Q9P1W9,PIM1,Homo sapiens,9606,7
CHEMBL1827,"cGMP-specific 3',5'-cyclic phosphodiesterase",SINGLE PROTEIN,O76074,PDE5A,Homo sapiens,9606,9
CHEMBL3553,Non-receptor tyrosine-protein kinase TYK2,SINGLE PROTEIN,P29597,TYK2,Homo sapiens,9606,8
CHEMBL279,Vascular endothelial growth factor receptor 2,SINGLE PROTEIN,P35968,KDR,Homo sapiens,9606,9
CHEMBL4295788,Neuronal calcium sensor 1,SINGLE PROTEIN,P62166,NCS1,Homo sapiens,9606,9
CHEMBL2637,Mitogen-activated protein kinase 10,SINGLE PROTEIN,P53779,MAPK10,Homo sapiens,9606,8
CHEMBL4739844,Immunoglobulin lambda variable 6-57,SINGLE PROTEIN,P01721,IGLV6-57,Homo sapiens,9606,8
CHEMBL1989,Dipeptidase 1,SINGLE PROTEIN,P16444,DPEP1,Homo sapiens,9606,7
CHEMBL6067076,Mitochondrial inner membrane protein OXA1L,SINGLE PROTEIN,Q15070,OXA1L,Homo sapiens,9606,7
CHEMBL1898,5-hydroxytryptamine receptor 1B,SINGLE PROTEIN,P28222,HTR1B,Homo sapiens,9606,7
CHEMBL4305,Intermediate conductance calcium-activated potassium channel protein 4,SINGLE PROTEIN,O15554,KCNN4,Homo sapiens,9606,7
CHEMBL5725197,Exosome complex component RRP45,SINGLE PROTEIN,Q06265,EXOSC9,Homo sapiens,9606,7
CHEMBL1293295,Ubiquitin carboxyl-terminal hydrolase 14,SINGLE PROTEIN,P54578,USP14,Homo sapiens,9606,9
CHEMBL1991,Inhibitor of nuclear factor kappa-B kinase subunit beta,SINGLE PROTEIN,O14920,IKBKB,Homo sapiens,9606,7
CHEMBL3991501,"Isocitrate dehydrogenase [NADP], mitochondrial",SINGLE PROTEIN,P48735,IDH2,Homo sapiens,9606,8
CHEMBL4100,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",SINGLE PROTEIN,P16885,PLCG2,Homo sapiens,9606,8
CHEMBL268,Cathepsin K,SINGLE PROTEIN,P43235,CTSK,Homo sapiens,9606,9
CHEMBL4973,Excitatory amino acid transporter 2,SINGLE PROTEIN,P43004,SLC1A2,Homo sapiens,9606,8
CHEMBL2086,Potassium voltage-gated channel subfamily A member 2,SINGLE PROTEIN,P16389,KCNA2,Homo sapiens,9606,7
CHEMBL5464,Receptor-interacting serine/threonine-protein kinase 1,SINGLE PROTEIN,Q13546,RIPK1,Homo sapiens,9606,9
CHEMBL3551,Tumor necrosis factor receptor superfamily member 10A,SINGLE PROTEIN,O00220,TNFRSF10A,Homo sapiens,9606,7
CHEMBL1293274,Eukaryotic translation initiation factor 4H,SINGLE PROTEIN,Q15056,EIF4H,Homo sapiens,9606,9
CHEMBL3430865,Prostaglandin-H2 D-isomerase,SINGLE PROTEIN,P41222,PTGDS,Homo sapiens,9606,7
CHEMBL4898,BDNF/NT-3 growth factors receptor,SINGLE PROTEIN,Q16620,NTRK2,Homo sapiens,9606,7
CHEMBL2007,Platelet-derived growth factor receptor alpha,SINGLE PROTEIN,P16234,PDGFRA,Homo sapiens,9606,9
CHEMBL6159,Ubiquitin carboxyl-terminal hydrolase isozyme L1,SINGLE PROTEIN,P09936,UCHL1,Homo sapiens,9606,8
CHEMBL4296097,DNA repair protein XRCC4,SINGLE PROTEIN,Q13426,XRCC4,Homo sapiens,9606,7
CHEMBL5201,Free fatty acid receptor 3,SINGLE PROTEIN,O14843,FFAR3,Homo sapiens,9606,7
CHEMBL6066306,Histone H1.3,SINGLE PROTEIN,P16402,H1-3,Homo sapiens,9606,7
CHEMBL6066952,Histone H1.5,SINGLE PROTEIN,P16401,H1-5,Homo sapiens,9606,8
CHEMBL2029194,Kinesin heavy chain isoform 5C,SINGLE PROTEIN,O60282,KIF5C,Homo sapiens,9606,7
CHEMBL3176,Galanin receptor type 2,SINGLE PROTEIN,O43603,GALR2,Homo sapiens,9606,8
CHEMBL6052,Transforming protein RhoA,SINGLE PROTEIN,P61586,RHOA,Homo sapiens,9606,7
CHEMBL3713000,Interferon alpha-2,SINGLE PROTEIN,P01563,IFNA2,Homo sapiens,9606,9
CHEMBL1911,"Succinate-semialdehyde dehydrogenase, mitochondrial",SINGLE PROTEIN,P51649,ALDH5A1,Homo sapiens,9606,7
CHEMBL1795185,Bromodomain testis-specific protein,SINGLE PROTEIN,Q58F21,BRDT,Homo sapiens,9606,9
CHEMBL4026,Signal transducer and activator of transcription 3,SINGLE PROTEIN,P40763,STAT3,Homo sapiens,9606,8
CHEMBL5724671,Histone H1.2,SINGLE PROTEIN,P16403,H1-2,Homo sapiens,9606,9
CHEMBL325,Histone deacetylase 1,SINGLE PROTEIN,Q13547,HDAC1,Homo sapiens,9606,9
CHEMBL5314,Tyrosine-protein kinase receptor TYRO3,SINGLE PROTEIN,Q06418,TYRO3,Homo sapiens,9606,9
CHEMBL5725040,Ubiquitin/ISG15-conjugating enzyme E2 L6,SINGLE PROTEIN,O14933,UBE2L6,Homo sapiens,9606,9
CHEMBL3831204,26S proteasome regulatory subunit 4,SINGLE PROTEIN,P62191,PSMC1,Homo sapiens,9606,7
CHEMBL5725144,Replication factor C subunit 3,SINGLE PROTEIN,P40938,RFC3,Homo sapiens,9606,8
CHEMBL3202,Prolyl endopeptidase,SINGLE PROTEIN,P48147,PREP,Homo sapiens,9606,9
CHEMBL5339,Free fatty acid receptor 4,SINGLE PROTEIN,Q5NUL3,FFAR4,Homo sapiens,9606,8
CHEMBL222,Sodium-dependent noradrenaline transporter,SINGLE PROTEIN,P23975,SLC6A2,Homo sapiens,9606,7
CHEMBL3242,Carbonic anhydrase 12,SINGLE PROTEIN,O43570,CA12,Homo sapiens,9606,7
CHEMBL235,Peroxisome proliferator-activated receptor gamma,SINGLE PROTEIN,P37231,PPARG,Homo sapiens,9606,8
CHEMBL5491,Wee1-like protein kinase,SINGLE PROTEIN,P30291,WEE1,Homo sapiens,9606,7
CHEMBL2514,Neurotensin receptor type 2,SINGLE PROTEIN,O95665,NTSR2,Homo sapiens,9606,7
